epoch,train_loss,val_loss,miou,pixel_acc,lr,time_sec
1,2.5052018699750223,2.192568439703721,0.03518247468321619,0.4674001589334726,9.84987422935722e-05,21342.1116399765
2,2.208105235803323,2.0310992945681563,0.03825026053298014,0.5051643404528621,9.699493779682662e-05,3213.457151889801
3,2.0353821568150336,1.951874322943635,0.038467924859200475,0.5229985665451494,9.548853816214998e-05,3284.8038959503174
4,1.9087702355098204,1.9111803134719094,0.039284006554537086,0.61237230472048,9.397949325887223e-05,6733.626056909561
5,1.7917299023091466,1.7933686755515716,0.03747550959032987,0.6357615459823398,9.246775107445347e-05,4935.60252904892
6,1.7039860982061084,1.6758741854311345,0.03844819893522435,0.6438992612503585,9.095325760829622e-05,5890.384172916412
7,1.6780577529974974,1.5856430949745597,0.03999410781026513,0.6560933218201548,8.943595675748564e-05,21696.69477415085
